,feature_name,cultured_feature_counts,uncultured_feature_counts
0,Trans-aconitate methyltransferase (Tam) (PDB:2P35),2,2
1,"Uncharacterized conserved protein, contains GBA2_N and DUF608 domains (PDB:5BVU)",1,1
2,Uncharacterized integral membrane protein,1,1
3,Seryl-tRNA(Sec) selenium transferase (SelA) (PDB:3W1J),0,1
4,"Heme/copper-type cytochrome/quinol oxidase, subunit 3 (CyoC) (PDB:1QLE)",2,0
5,"Uncharacterized conserved protein YuzB, UPF0349 family (YuzB)",0,3
6,Tetrahydrodipicolinate N-succinyltransferase (DapD) (PDB:3BXY),0,3
7,"Phosphotransacetylase (includes Pta, EutD and phosphobutyryltransferase) (Pta) (PDB:1QZT) (PUBMED:28754323)",0,1
8,"Ethanolamine utilization protein EutT, cobalamin adenosyltransferase (EutT)",2,1
9,"Uncharacterized conserved protein, PKD repeat domain (PDB:2KZW)",1,0
10,Phosphotransferase system cellobiose-specific component IIB (CelA) (PDB:1E2B),0,1
11,Pyridoxamine 5'-phosphate oxidase (PNPOx-like) family protein (PDB:2IG6),1,1
12,"Curved DNA-binding protein CbpA, contains a DnaJ-like domain (CbpA)",1,2
13,Leucyl aminopeptidase (PepB) (PDB:3H8E) (PUBMED:19553197;23825549),0,1
14,UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase (LpxD) (PDB:6P83),0,1
15,"6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase MptE (tetrahydrofolate and tetrahydromethanopterin biosynthesis) (FolK) (PUBMED:22931285)",0,3
16,Type 1 glutamine amidotransferase (GATase1)-like domain,2,0
17,Carbamate kinase (ArcC) (PDB:2E9Y),3,2
18,"Acyl-CoA:acetate/3-ketoacid CoA transferase, beta subunit (AtoA) (PDB:5DBN)",0,2
19,Spore coat protein CotH (CotH) (PDB:5JD9),1,2
20,"ABC-type transport system, periplasmic component (DdpA) (PDB:3RQT)",0,2
21,Ubiquitin (UBI4) (PDB:1AAR),0,1
22,tRNA G37 N-methylase Trm5 (Trm5) (PDB:2YX1),1,0
23,"Chromosome condensin MukBEF, kleisin-like MukF subunit (MukF) (PDB:1T98)",1,2
24,Uncharacterized Fe-S cluster protein YjdI (YjdI),3,1
25,"ABC-type xylose transport system, periplasmic component (XylF) (PDB:4YWH)",1,1
26,"Flp pilus assembly protein, secretin CpaC (CpaC)",1,0
27,Lactate dehydrogenase or related 2-hydroxyacid dehydrogenase (LdhA) (PDB:1DXY),0,1
28,"Tartrate dehydratase beta subunit/Fumarate hydratase class I, C-terminal domain (FumA) (PDB:5L2R)",0,3
29,Predicted type IV restriction endonuclease,1,4
30,"Nitric oxide synthase, oxygenase domain (PDB:4D3V)",1,0
31,"Antitoxin component of toxin-antitoxin stability system, DNA-binding transcriptional repressor (Phd) (PDB:3DBO)",2,0
32,Swarming motility protein SwrD (SwrD) (PUBMED:29061663),0,1
33,Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase) (PurT) (PDB:1KJ8),0,4
34,"Uncharacterized conserved protein, DUF465 domain",1,0
35,"MFS family permease, includes anhydromuropeptide permease AmpG (ProP) (PUBMED:12426329)",0,1
36,"Archease, activates RNA ligation by RtcB (tRNA splicing) (ARCH) (PDB:1J5U) (PUBMED:24435797)",2,0
37,"Predicted transcriptional regulator, contains C-terminal CBS domains",0,3
38,O-Glycosyl hydrolase (XynC),1,0
39,Cytochrome c biogenesis protein CcmE (CcmE) (PDB:1J6Q),1,2
40,Adenosylcobinamide amidohydrolase (CbiZ) (PUBMED:14990804),1,0
41,sRNA-binding carbon storage regulator CsrA (CsrA) (PDB:1T3O),1,1
42,"Acetyl/propionyl-CoA carboxylase, alpha subunit (PccA) (PDB:3U9S)",0,2
