,feature_name,cultured_feature_counts,uncultured_feature_counts
0,"Predicted transcriptional regulator, contains HTH domain (PDB:3LMM)",0,1
1,"Uncharacterized conserved protein, DUF2097 domain",1,0
2,"Ni,Fe-hydrogenase I cytochrome b subunit (HyaC) (PDB:4GD3)",1,0
3,"Uncharacterized membrane protein YecN, MAPEG domain (YecN)",1,0
4,NAD kinase,0,1
5,"Uncharacterized conserved protein Smg, DUF494 family (Smg)",1,0
6,"Uncharacterized conserved protein, contains thioredoxin-like domain",0,1
7,Rubrerythrin (YotD) (PDB:1B71),0,1
8,Long-chain fatty acid transport protein (FadL) (PDB:1T16),0,1
9,Outer membrane protease (OmpT) (PDB:1I78),0,1
10,"Cyclic di-GMP-binding flagellar brake protein FlgZ/YcgR, contains PilZNR(YcgR) and PilZ domains (YcgR) (PDB:5Y6F)",0,1
11,tRNA-dihydrouridine synthase (DusA) (PDB:1VHN),0,1
12,Mu-like prophage FluMu protein gp41 (gp41),1,0
13,UDP-glucose 6-dehydrogenase (Ugd) (PDB:1DLI),0,1
14,"Uncharacterized conserved protein, DUF1684 family (PDB:2LNU)",0,1
15,"Chemotaxis response regulator CheB, contains REC and protein-glutamate methylesterase domains (CheB) (PDB:1A2O)",1,0
16,"Uncharacterized membrane protein YbaN, DUF454 family (YbaN)",0,1
17,"ABC-type multidrug transport system, permease component (YadH)",0,1
18,Flagellar basal body rod protein FlgC (FlgC),1,1
19,"Zn-dependent glyoxalase, PhnB family (PhnB) (PDB:5KEF) (PUBMED:28034013)",0,1
20,Phosphoglycerate mutase (BPG-dependent) (GpmA) (PDB:1E58),1,0
21,Adenylosuccinate lyase (PurB) (PDB:2HVG),0,1
22,Uncharacterized conserved protein (PDB:3KE2),0,1
23,Uncharacterized MnhB-related membrane protein (PDB:6CFW),0,1
24,"Uncharacterized conserved protein YwlG, UPF0340 family (YwlG) (PDB:1V8D)",1,0
25,"rRNA maturation protein Rpf1, contains Brix/IMP4 (anticodon-binding) domain (IMP4) (PDB:5O9E) (PUBMED:15654320)",0,1
26,"Stage V sporulation protein SpoVAD, subunit of dipicolinate uptake complex (SpoVAD) (PDB:3LM6)",1,0
27,CRISPR-Cas system type-II protein Cas9 (Cas9) (PDB:4OGC),1,0
28,Enoyl-CoA hydratase/carnithine racemase (CaiD) (PDB:1DCI),2,0
29,Extracytoplasmic sensor domain CHASE2 (specificity unknown) (CHASE2),1,0
30,Primosomal protein N' (replication factor Y) - superfamily II helicase (PriA) (PDB:6DCR),1,0
31,"Omega-amidase YafV/Nit2, hydrolyzes alpha-ketoglutaramate (Nit2) (PUBMED:28373563)",1,1
32,"3-phenylpropionate/cinnamic acid dioxygenase, small subunit (HcaF)",1,0
33,"Uncharacterized conserved protein YdcH, DUF465 family (YdcH) (PDB:1ZHC)",0,1
34,Uncharacterized archaeal Zn-finger protein,1,0
35,DNA-binding nucleoid-associated protein YbaB/EfbC (YbaB) (PDB:1J8B) (PUBMED:19594923;22544270),0,1
36,Glutamyl- or glutaminyl-tRNA synthetase (GlnS) (PDB:1EUQ),1,0
37,"Adenine-specific DNA methylase, N12 class",0,1
38,"Type IV secretory pathway, VirJ component (VirJ)",1,0
39,"ABC-type microcin C transport system, permease component YejE (YejE)",1,0
